Id	Theme	Difficulty	Sentence
1	News	1	쿠팡 측은 "개인정보보호위원회와 경찰 조사·수사 결과에 따라 구체적인 주장과 입증을 하겠다"는 입장을 밝힌 상태다.
2	News	1	각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
3	News	1	전쟁 여파로 주가가 등락을 거듭하고 있지만 그동안의 가파른 상승에 따른 조정 국면으로도 볼 수 있다는 해석이다.
4	News	1	이재명 대통령이 18일 청와대에서 열린 자본시장 안정과 정상화 간담회에서 발언하고 있다.
5	News	1	급격한 상승 뒤 불가피한 조정이 진행되고 있다는 진단과 함께, 이 같은 시기를 개혁의 기회로 삼아야 한다는 점도 강조했다.
6	News	1	이날 이 대통령은 코리아 디스카운트의 원인으로 크게 네 가지를 제시했다.
7	News	1	지배구조 문제와 경영권 남용, 시장 불투명성과 주가조작, 정책 방향의 불확실성, 지정학적 리스크다.
8	News	1	시장 신뢰 회복을 위한 강도 높은 대책도 거론했다.
9	News	1	내부 가담자도 결정적 증거를 제공하면 처벌을 감면하는 방안도 제시했다.
10	News	1	특히 금융 본업을 기반으로 플라스틱 저감과 관련된 기업을 지원하고 녹색·전환금융 확대를 통해 순환경제 전환에 기여할 방침이다.
11	News	1	이와 함께, 신한은행은 임직원과 고객이 함께 참여하는 플라스틱 감축 활동도 추진한다.
12	News	1	발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
13	News	1	판교신미주 단지는 지난 2009년 2월 13일 입주한 아파트다.
14	News	1	이 아파트 단지는 최근 6개월 동안 한 달에 평균 2.2건씩 거래됐다.
15	News	1	이 기간 체결된 매매 거래 내용을 보면, 가장 손바뀜이 많이 이뤄진 전용면적은 82㎡형이다.
16	TongueTwister	1	내가 그린 기린 그림은 목이 긴 기린 그림인가 목이 안 긴 기린 그림인가?
17	TongueTwister	1	내가 그린 기린 그림은 잘 그린 기린 그림이고 네가 그린 기린 그림은 잘못 그린 기린 그림이다.
18	TongueTwister	1	저기 있는 말뚝이 말 맬 말뚝이냐, 말 못 맬 말뚝이냐?
19	TongueTwister	1	고려고 교복은 고급 교복이고 고려고 교복은 고급 원단을 사용했다.
20	TongueTwister	1	내가 그린 구름 그림은 새털구름 그린 구름 그림이고, 네가 그린 구름 그림은 깃털구름 그린 구름 그림이다.
21	TongueTwister	1	저기 계신 저분이 박 법학 박사이시고 여기 계신 이분이 백 법학 박사이시다.
22	TongueTwister	1	경찰청 철창살은 외철창살이냐 된철창살이냐?
23	TongueTwister	1	경찰청 철창살은 외철창살이고 검찰청 철창살은 된철창살이다.
24	TongueTwister	1	경찰청 철창살이 쇠철창살이냐 철철창살이냐.
25	TongueTwister	1	우리집 옆집 앞집 뒷창살은 흩겹창살이고, 우리집 뒷집 앞집 옆창살은 겹흩창살이다.
26	TongueTwister	1	앞집 팥죽은 붉은팥풋팥죽이고, 뒷집 콩죽은 햇콩단콩콩죽, 우리집 깨죽은 검은깨깨죽인데 사람들은 햇콩단콩콩죽깨죽죽 먹기를 싫어하더라.
27	TongueTwister	1	옆집 팥죽은 붉은 팥죽이고, 뒷집 콩죽은 검은 콩죽이다.
28	TongueTwister	1	들의 콩깍지는, 깐 콩깍지인가 안 깐 콩깍지인가? 깐 콩깍지면 어떻고, 안 깐 콩깍지면 어떠냐? 깐 콩깍지나 안 깐 콩깍지나, 콩깍지는 다 콩깍지인데.
29	TongueTwister	1	간장 공장 공장장은 장 공장장이고, 된장 공장 공장장은 강 공장장이다.
30	TongueTwister	1	안 촉촉한 초코칩 나라에 살던 안 촉촉한 초코칩이 촉촉한 초코칩 나라의 촉촉한 초코칩을 보고 촉촉한 초코칩이 되고 싶어서 촉촉한 초코칩 나라에 갔는데 촉촉한 초코칩 나라의 문지기가 "넌 촉촉한 초코칩이 아니고 안 촉촉한 초코칩 이니까 안 촉촉한 초코칩 나라에서 살아"라고 해서 안 촉촉한 초코칩은 촉촉한 초코칩이 되는 것을 포기하고 안 촉촉한 눈물을 흘리며 안 촉촉한 초코칩 나라로 돌아갔다.
31	TongueTwister	1	작년에 온 솥장수는 새 솥장수이고, 올해에 온 솥장수는 헌 솥장수이다.
32	TongueTwister	1	서울특별시 특허허가과 허가과장 허 과장
33	TongueTwister	1	상표 붙인 큰 깡통은 깐 깡통인가? 안 깐 깡통인가?
34	TongueTwister	1	저기 가는 저 상장사가 새 상 상장사냐 헌 상 상장사냐
35	TongueTwister	1	한국관광공사 곽진광 관광과장
36	TongueTwister	1	철수 책상, 철책상.
37	TongueTwister	1	산 사람들과 선 사람 둘과 선사 시대 사람들 속에 속해있는 사람들 속에서 선 사람 둘을 솎아낼까. 선 사람 둘과 산 사람들과 선사 시대 사람들 속에 섞여있는 선 사람들 속에 안 선 사람을 더 섞을까. 선사 시대 사람들과 산 사람들과 선 사람 둘이 모두 서서 서로가 서로를 서로 솎아내려 할 때, 선사 시대 사람은 선 사람이나, 안 선사람이나, 선한 사람이나, 안 선 상태로 서로 손을 잡고 3433년 3월13일 신시와 3시 33분 33초를 서로의 눈을 보며 말하자고 하였다.
38	TongueTwister	1	스위스에서 온 산새들이 속삭이는 산림 숲속에서 숫사슴을 샅샅이 수색해 식사하고 산속 샘물로 세수하며 사는 삼십삼 살 샴쌍둥이 미세스 스미스 씨와 미스터 심슨 씨는, 삼성 설립 사장의 회사 자산 상속자인 사촌의 사돈 김상속 씨의 숫기 있고 숭글숭글한 숫색시 삼성 소속 식산업 종사자 김삼순 씨를 만나서, 삼성 수산물 운송 수송 수색 실장에게 스위스에서 숫사슴을 샅샅이 수색했던 것을 인정받아 스위스 수산물 운송 수송 과정에서, 상해 삭힌 냄새가 나는 수산물을 수색해 내는 삼성 소속 수산물 운송 수송 수색사원이 돼서 살신성인으로 쉴 새 없이 수색하다 산성수에 손이 산화되어 수술실에서 수술하게 됐는데, 쉽사리 수술이 잘 안 돼서 심신에 좋은 산삼을 달여 츄르릅 들이켰더니 힘이 샘솟아 다시 몸 사려 수색하다, 삼성 소속 식산업 종사자 김삼순 씨와 셋이서 삼삼오오 삼월 삼십삼일 세시 삼십삼분 삼십삼초에 쉰세 살 김식사 씨네 시내 스시 식당에 식사하러 가서, 싱싱한 샥스핀 스시와 삼색 샤시 참치 스시를 살사 소스와 슥슥삭삭 샅샅이 비빈 것과 스위스산 소세지를 샤샤샥 싹 쓸어 입 속에 쑤셔넣어 살며시 삼키고 스산한 새벽 세시 삼십삼분 삼십삼초에 산림 숲속으로 사라졌다.
39	TongueTwister	1	나는 못생겼고 너도 못생겼고 나도 못생겼고 옆집 강아지도 못생겼어 온 세상이 못생겼고 옆집 앞집 뒷집도 못생겼고 나무위에 있는 구름에 떠서 다니는 작은 새도 못생겼고 내 옆에 있고 그 옆에 있는 그 친구의 동생의 오빠가 못생겼다.
